,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
Glengoyne 12 Year Old,https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-12-year-old-whisky/,," Toffee apples, a little acacia honey, nectarine in syrup and spice, supported by toasted barley in the background."," Over-ripe grapes, honeyed with hints of vanilla, coconut milk and oak spice. Light touches of chocolate ice-cream."," Long, oily finish with lingering coffee notes. ",Scotch Whisky,Highland Whisky,Glengoyne,Glengoyne,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glenkinchie 12 Year Old,https://www.masterofmalt.com/whiskies/glenkinchie/glenkinchie-12-year-old-whisky/,," A light, aromatic nose with hints of barley malt, almonds, hazelnuts and manuka honey/beeswax."," Very fruity palate with a mix of stewed fruits, dessert wine, apple peels and honey. Becomes quite oaky late palate.", A medium-length finish with barley and freshly mown grass…,Scotch Whisky,Lowland Whisky,Glenkinchie,Glenkinchie,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Clynelish 14 Year Old,https://www.masterofmalt.com/whiskies/clynelish-14-year-old-whisky/,," Zesty, mandarin, tangerine. Smoky."," Quite light, great clarity. Orange, soft acidity. Dry oak. Mixed fruits, vanilla, leather."," Quite long, bitter sweetness developing, spicy oak.",Scotch Whisky,Highland Whisky,Clynelish,Clynelish,14 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Strathisla 12 Year Old,https://www.masterofmalt.com/whiskies/strathisla/strathisla-12-year-old-whisky/,," Soft oak and hints of candied peel. A little floral character too, with notes of spice and Danish pastries."," Malty core with notes of sultanas and cinnamon pastries. Allspice, cooked apple and mince pies.", Long finish. Very fruity.,Scotch Whisky,Speyside Whisky,Strathisla,Strathisla,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Glenmorangie Allta Private Edition,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-allta-private-edition-whisky/,," Rounded, with biscuity, yeasty tones. Gentle floral notes of carnations and Parma violets, baking bread, very gentle vanilla, soft raisins and sweet mandarin orange."," A crisp citrus bite to the mouthfeel. Butter candy, creamy vanilla, orange syrup with slightly yeasty background. Gentle mint, the tiniest hint of sweet chilli and delicate, dancing, floral notes.", Long and earthy with hints of bittersweet orange and peppermint.,Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,,,Single Malt Whisky,,51.2%,70cl
anCnoc 24 Year Old,https://www.masterofmalt.com/whiskies/knockdhu/ancnoc-24-year-old-whisky/,, Christmas cake with a splash of lemon juice and vanilla custard.," Rich and citrus forward, think oodles of lemon peel and marmalade with creamy vanilla toffee and honeyed barley.", Old leather and tannic oak rounding it out with a hint of orange peel.,Scotch Whisky,Highland Whisky,Knockdhu,Knockdhu,24 year old Whisky,,Single Malt Whisky,,46.0%,70cl
The Macallan Gold Double Cask ,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-gold-double-cask-whisky/,," This burnished gold spirit presents a lemon citrus nose, the orange peel and an interlacing sweetness that softens but doesn't eliminate the zest. A quiet note of vanilla is followed by dark chocolate - more assertive, yet not overly so - with a lingering floral and light oak notes."," Citrus and boiled sweets rule the palate, along with hints of ginger and cinnamon, while soft oak tones reveal toasted apples."," The finish is medium sweet, malty and slightly dry.",Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,,,Single Malt Whisky,,40.0%,70cl
Springbank 25 Year Old 1993 - Single Cask (Master of Malt),https://www.masterofmalt.com/whiskies/springbank/springbank-25-year-old-1993-single-cask-master-of-malt-whisky/,," Salami, jammy dried fruit and wood smoke, then green olives, orange bitters and blackcurrant compote. Spicy Jamaican ginger cake, marzipan and salted caramel are present underneath, with toasted nuts and heather honey."," Fruitcake, coal smoke and lime marmalade are followed by coffee-flavoured toffee, damp peat and pink grapefruit bitterness, then a distinct maritime character of saline. Meaty grilled papaya, peated maltiness and dried cherries add depth."," Nutty oiliness, pot-pourri and bitter oak char.",Scotch Whisky,Campbeltown Whisky,Springbank,Master of Malt,25 year old Whisky,07 May 1993,Single Malt Whisky,27 Nov 2018,51.0%,70cl
Dailuaine 16 Year Old - Flora and Fauna,https://www.masterofmalt.com/whiskies/dailuaine-16-year-old-whisky/,," Cereals, barley sugars, sherry. Fruitcake, oily, nutty."," Medium body, clean. Malt, estery fruit. Sherry. Nutty."," Nutty, almonds, oily, smoke, oak.",Scotch Whisky,Speyside Whisky,Dailuaine,Dailuaine,16 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glen Scotia Double Cask,https://www.masterofmalt.com/whiskies/glen-scotia/glen-scotia-double-cask-whisky/,," Vibrant fruit emerges first (peach flesh and green apple peels), followed by chewy vanilla fudge, a hint of salinity, then an array of oak-y spices including some char."," Opens with more fudge with a little dusting of powdered sugar. Powerful, oily and a touch herbaceous with some German brandy character.", Sherried notes come through more on the finish.,Scotch Whisky,Campbeltown Whisky,Glen Scotia,Glen Scotia,,,Single Malt Whisky,,46.0%,70cl
BenRiach 10 Year Old,https://www.masterofmalt.com/whiskies/benriach/benriach-10-year-old-whisky/,," Citrus-forward, with gingerbread and cinnamon in support."," Fried banana, brown sugar, powerful barley notes driving it all along.", Lasting hints of peppery malt and vanilla custard.,Scotch Whisky,Speyside Whisky,BenRiach,BenRiach,10 year old Whisky,,Single Malt Whisky,,43.0%,70cl
The Macallan Enigma,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-enigma-whisky/,," Root ginger, mint chocolate, poached pear and dates."," Diced almond, treacle, honey, raisin, raw cinnamon and a touch of cacao.", Enjoyably oak-y on the finish.,Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,,,Single Malt Whisky,,44.9%,70cl
Glengoyne 25 Year Old,https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-25-year-old-whisky/,," Big notes of sherry-soaked fruit up front - raisins, figs and oranges. This is followed by wafts of toasted almonds and classic notes of old leather."," Vanilla and dark chocolate open up the palate. Sherry comes through yet again, but this time in the shape of rich, well spiced fruit cake. Hints of orange and oak round it off.", The finish lasts with notes of red fruits and cracked black pepper.,Scotch Whisky,Highland Whisky,Glengoyne,Glengoyne,25 year old Whisky,,Single Malt Whisky,,48.0%,70cl
The Ileach Cask Strength,https://www.masterofmalt.com/whiskies/scotch-whisky/single-malt-whisky/the-ileach/cask-strength-whisky/,,,,,,,,,,,,,,
Longrow 18 Year Old,https://www.masterofmalt.com/whiskies/longrow-18-year-old-whisky/,," Apple peels, and smoke. Earthy peat, damp leaves, notes of truffle, woodshed, porridge oats and soot."," Peaty with notes of spicy. Very oily, with hints of orange zest, pepper and chili. Very ""big"". Kippers, smoked meats and honey."," Spicy and oily, with notes of dark, earthy peaty.",Scotch Whisky,Campbeltown Whisky,Springbank,Springbank,18 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Glenmorangie 10 Year Old - The Original,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-10-year-old-the-original-whisky/,," Very fruity and thick. Rich notes of lemon, nectarine and apple. Spices."," Fresh and balanced, vanilla. Boiled sweets, very creamy, tiramisu, toffee."," Quite long, gentle, malty and very fruity.",Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Bruichladdich Scottish Barley - The Classic Laddie,https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-scottish-barley-the-classic-laddie-whisky/,," Elegantly sweet with honey'd barley, boiled sweets and orange petals. Wafts of sea air."," Red apples and white grapes, with touches of sweet cinnamon and brown sugar. Still softly coastal."," Mineral-rich malt, with toffee and more honey.",Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,,,Single Malt Whisky,,50.0%,70cl
Hazelburn 10 Year Old,https://www.masterofmalt.com/whiskies/springbank/hazelburn-10-year-old-whisky/,," Toffee apples, fresh honey and fragrant pears. Hints of vanilla.", Good mouthfeel paired with bright notes of vanilla and Crunchie bars. More lively fruit notes underneath., Oily and sweet on the finish.,Scotch Whisky,Campbeltown Whisky,Springbank,Springbank,10 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Dalmore King Alexander III,https://www.masterofmalt.com/whiskies/dalmore-king-alexander-iii-whisky/,," Malty and utterly Dalmore. Seville orange zest, Parfait Amour, malty cereal, barley and chocolate. Creamy vanilla fudge, tropical fruit with a vaguely vinous quality."," Medium, rounded. Winter berries, spice, zesty orange. Liqueurs emerge; Grand Marnier, kirsch and Frangelico.", Peppery with well-integrated oak and the claret makes a last minute appearance.,Scotch Whisky,Highland Whisky,Dalmore,Dalmore,,,Single Malt Whisky,,40.0%,70cl
Caol Ila 18 Year Old,https://www.masterofmalt.com/whiskies/caol-ila-18-year-old-whisky/,," Aromatic, darkness. Herbal, vegetal. Grassy, creamy malt."," Big, refined sweetness, leafy. Well integrated oak, smoke, oily, peat. Barley."," Long, herbal notes, gentle smoke, soft peat. Oily wood.",Scotch Whisky,Islay Whisky,Caol Ila,Caol Ila,18 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Balvenie DoubleWood 17 Year Old,https://www.masterofmalt.com/whiskies/balvenie/balvenie-17-year-old-doublewood-whisky/,"Warm Acacia honey and green apples on the nose leading to warm winter spices, vanilla and honeysuckle on the palate. The finish is gloriously long with notes of vanilla and honey. ",,,,Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,17 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Longrow Peated,https://www.masterofmalt.com/whiskies/springbank/longrow-peated-whisky/,," Salt and a leathery smokiness come to the fore in a maritime combination, like a Harbourmaster's Jacket."," Light and sweet with notes of green grapes and rhubarb, a great contrast to the nose. Then comes a big blast of smoke.", That salty smokiness returns from the nose providing a deeply satisfying ending.,Scotch Whisky,Campbeltown Whisky,Springbank,Springbank,,,Single Malt Whisky,,46.0%,70cl
Clynelish 23 Year Old 1995 (cask 11236) - Cask Strength Collection (Signatory),https://www.masterofmalt.com/whiskies/clynelish/clynelish-23-year-old-1995-cask-11236-cask-strength-collection-signatory-whisky/,," Caramelised pear, toasted oak and burnt toffee, with salted caramel, orange peel and smoked wood."," Salted butter on rye bread, with well sherried autumn fruits, oak spice, black pepper and gingerbread."," Chocolate covered candied ginger, a pinch of sea salt and smoked dried herbs.",Scotch Whisky,Highland Whisky,Clynelish,Signatory,23 year old Whisky,21 Nov 1995,Single Malt Whisky,15 May 2019,57.7%,70cl
Tomintoul Tlàth,https://www.masterofmalt.com/whiskies/tomintoul/tomintoul-tlath-whisky/,," Quintessentially Speyside. Light, with some sweet toffee and vanilla and hints of mint leaf and citrus peel.", Light and creamy. Lively white pepper and some oak-driven spiciness dance on the tongue with background layers of nutmeg and toasted vanilla., Spicy with notes of shortbread and fresh mint.,Scotch Whisky,Speyside Whisky,Tomintoul,Tomintoul,,,Single Malt Whisky,,40.0%,70cl
Glenfarclas Family Cask Trunk,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-family-cask-trunk-whisky/,,,,,,,,,,,,,,
Laphroaig 10 Year Old 35cl,https://www.masterofmalt.com/whiskies/laphroaig-10-year-old-35cl-whisky/,," This opens on big, smoky muscular peat notes. There are spices, and liquorice, as well as a big dose of salt. This whisky has become slightly sweeter in recent years, and it beautifully on the nose, amidst the classic iodine/sticking plasters and cool wood smoke we love.

"," Seaweed-led, with a hint of vanilla ice cream and more than a whiff of notes from the First Aid box (TCP, plasters etc). The oak is big, and muscles its way into the fore as you hold this whisky over your tongue. An upsurge of spices develop – cardamom/black pepper/chilli.

"," Big and drying, as the savoury, tarry notes build up with an iodine complexity.

",Scotch Whisky,Islay Whisky,Laphroaig,Laphroaig,10 year old Whisky,,Single Malt Whisky,,40.0%,35cl
Laphroaig The 1815 Legacy Edition,https://www.masterofmalt.com/whiskies/laphroaig/laphroaig-the-1815-legacy-edition-whisky/,," Cinnamon-spiced apricots, marmalade, heavy layers of toasty peat."," TCP, brown sugar and caramel, a hint of raisin.", Robust notes of peat last.,Scotch Whisky,Islay Whisky,Laphroaig,Laphroaig,,,Single Malt Whisky,,48.0%,70cl
Kilchoman Sanaig,https://www.masterofmalt.com/whiskies/kilchoman/kilchoman-sanaig-whisky/,," Pineapple chunks and white grapes. Hints of fresh coffee carry the earthy, subtly spicy peat. Toffee cubes."," More light fruits (this time of the peach variety), with dark chocolate raisins and a whisper of red berries. Peat grows and grows, with a little black pepper too.", Quite long with coastal peat lasting. ,Scotch Whisky,Islay Whisky,Kilchoman,Kilchoman,,,Single Malt Whisky,,46.0%,70cl
Old Pulteney 12 Year Old,https://www.masterofmalt.com/whiskies/pulteney/old-pulteney-12-year-old-whisky/,," Honeycomb, vanilla tablet, soft sawdust oakiness and oatcakes."," Chocolate peanuts, mint, citrus peels, maritime elements and white pepper."," Toffee, brine and lemon.",Scotch Whisky,Highland Whisky,Pulteney,Pulteney,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Glenmorangie Grand Vintage Malt 1991 (bottled 2018) - Bond House No.1,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-grand-vintage-malt-1991-bottled-2018-bond-house-no1-whisky/,," There’s chocolate orange, dried pineapple and aromatic cigar box aromas. A little time and fudge and toffee appear."," Very complex, powerful and peppery with a noticeable chew from the wood tannins, then fruity notes come through dark cherry and classic Glenmorangie peachy notes.", Rather long with honey and salted caramel.,Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,,1991,Single Malt Whisky,2018,43.0%,70cl
Glenfiddich 18 Year Old ,https://www.masterofmalt.com/whiskies/glenfiddich-18-year-old-whisky/,," Loads of fruit. Zesty grapefruit, baked toffee apples. Dry, chocolate Flake-y wood and cinnamon."," Candied fruits and Glenfiddich freshness balances richer notes of dried apricot, more cinnamon and toffee, ginger and dry Sherry.", Peels and a touch of salted toffee.,Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,18 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Balvenie 12 Year Old Single Barrel - First Fill,https://www.masterofmalt.com/whiskies/balvenie/balvenie-12-year-old-single-barrel-first-fill-whisky/,," Toasted, sweet nose with all kinds of charred oak and spice. Hints of maple syrup and allspice, a little vanilla and sweet coffee."," A complex, thick palate with allspice and toffee apples. Cooked fruit and baking spices, hints of sponge cake and creamy caramel.", Long finish with lingering sweetness and spice.,Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,12 year old Whisky,,Single Malt Whisky,,47.8%,70cl
